Level,Year,Name,Depth,Indicator,Metric,Reference,Median,Lower,Upper,tn.reefs,n.below,Latitude,Longitude
GBRMPA.MA,2008,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.6255319557715805,0.5547776890156659,0.7022082704160548,49,1,NA,NA
GBRMPA.MA,2008,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.6364278846683515,0.5799717680319175,0.6937200625500597,49,7,NA,NA
GBRMPA.MA,2008,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.726827654260056,0.6901557957302294,0.7614220025673891,49,5,NA,NA
GBRMPA.MA,2008,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.5224674178350508,0.4806171189053616,0.5587435067246167,48,15,NA,NA
GBRMPA.MA,2008,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5075464369092791,0.43962502209656457,0.5638209401671782,48,10,NA,NA
GBRMPA.MA,2008,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.5224552559315769,0.4179129605777415,0.6313989597590717,48,7,NA,NA
GBRMPA.MA,2008,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.709260095874513,0.6472610607299225,0.7577929446412884,48,5,NA,NA
GBRMPA.MA,2009,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.7446137996929301,0.7084077434357429,0.783909083330504,34,2,NA,NA
GBRMPA.MA,2009,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.6077111965104516,0.5132735499042392,0.695372747914579,34,2,NA,NA
GBRMPA.MA,2009,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.6238850289157626,0.5012223984511539,0.7444747150269431,34,1,NA,NA
GBRMPA.MA,2009,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8716403772688023,0.8494317851818443,0.8932234081093794,34,1,NA,NA
GBRMPA.MA,2009,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.7526236232922422,0.7205168068247406,0.7875039326866786,30,3,NA,NA
GBRMPA.MA,2009,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.625701976761616,0.5659125500796245,0.6837236919733575,30,4,NA,NA
GBRMPA.MA,2009,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.4991139466364529,0.4364485219383965,0.5562613583511764,30,8,NA,NA
GBRMPA.MA,2009,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.5408700949145255,0.48222619373069514,0.577785699954635,30,8,NA,NA
GBRMPA.MA,2009,Townsville/Whitsunday Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.653901804335471,0.625376981471823,0.6833741491291774,68,13,NA,NA
GBRMPA.MA,2009,Townsville/Whitsunday Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.5593356647966212,0.4929486048629755,0.6214383188780892,68,8,NA,NA
GBRMPA.MA,2009,Townsville/Whitsunday Management Area,NA,Macroalgae,distance.metric,Baseline,0.6140803716890111,0.5380788699131425,0.6831307211885344,68,8,NA,NA
GBRMPA.MA,2009,Townsville/Whitsunday Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8130363742458262,0.7561635098489621,0.8537134331554782,68,4,NA,NA
GBRMPA.MA,2010,Cairns/Cooktown Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.7896236531904182,0.7591194299879975,0.8210107818135387,26,2,NA,NA
GBRMPA.MA,2010,Cairns/Cooktown Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.629424705380434,0.537693059433153,0.7047747407280128,26,2,NA,NA
GBRMPA.MA,2010,Cairns/Cooktown Management Area,NA,Macroalgae,distance.metric,Baseline,0.3700558801711259,0.2725365101518149,0.512577187768002,26,8,NA,NA
GBRMPA.MA,2010,Cairns/Cooktown Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.6897454723856635,0.6494550859602418,0.7250864950579394,26,4,NA,NA
GBRMPA.MA,2010,Mackay/Capricorn Management Area,NA,Coral.cover,pcb.rescale.dist.metric,Critical,0.4840691047563932,0.43131769245030255,0.5351598754171837,42,12,NA,NA
GBRMPA.MA,2010,Mackay/Capricorn Management Area,NA,Coral.cover,rescale.dist.metric,Baseline,0.4183182967311126,0.3415495191626672,0.4909019492103165,42,16,NA,NA
GBRMPA.MA,2010,Mackay/Capricorn Management Area,NA,Macroalgae,distance.metric,Baseline,0.7051618878482862,0.6532868913344286,0.7540690682738472,42,4,NA,NA
GBRMPA.MA,2010,Mackay/Capricorn Management Area,NA,Macroalgae,rescale.consequence.metric,Critical,0.8334263349015197,0.8053282533899657,0.8631101510457501,42,0,NA,NA
